"PolicyID","Exposure","CarAge","Density","ClaimAmount"
"101820",0.75,1,2795,1061
"10183",1,0,373,322
"101834",0.66,0,1571,76
"101855",0.3,1,3095,5971
"101857",0.5,1,3095,1111
"101895",0.25,0,1557,3137
"101907",0.44,0,104,87
"101961",0.26,1,140,405
"102015",0.83,1,303,81
"102029",0.75,0,127,299
"102037",0.72,0,86,701
"102050",0.75,0,48,811
"102055",0.58,0,1055,2433
"102070",0.37,0,4348,66248
"102080",0.32,0,98,1481
"102092",0.57,1,4348,201
"102134",0.32,0,1445,1220
"102137",0.39,0,4348,1170
"10219",1,0,105,1125
"102192",0.1,1,1535,1138
"102198",1,1,27000,1200
"102250",0.77,1,75,1153
"102258",0.89,1,273,161
"102271",0.06,1,31,495
"102277",0.67,0,31,1189
"102349",0.44,1,25,53
"102371",0.35,0,64,1312
"102374",0.29,1,25,790
"102376",0.3,0,29,1135
"102385",0.00547945205479452,1,91,73
"102409",0.31,1,866,483
"102433",0.42,0,60,867
"102437",0.4,0,37,1090
"102525",0.45,1,405,403
"102529",0.48,1,115,338
"10254",0.41,0,27,589
"102547",0.56,0,405,1190
"102560",0.47,0,4998,1528
"102586",0.12,1,4128,191
"102597",0.61,1,4128,15
"102609",0.57,0,983,1152
"102612",0.79,1,3834,1655
"102622",0.8,0,983,72
"102628",0.73,0,1457,1111
"102628",0.73,0,1457,569
"102677",0.92,0,3021,1178
"102693",0.23,1,636,251
"102705",0.59,0,17,764
"10271",1,0,1313,1109
"102727",0.42,1,26,422
"102766",0.17,0,1054,1142
"10282",0.54,0,105,328
"10284",1,1,435,1133
"102860",0.32,0,2044,289
"102876",0.24,0,2715,267
"102877",0.4,1,4116,1124
"10288",0.98,0,25,1137
"102885",0.51,0,1296,1159
"102886",0.07,0,4116,3825
"102897",0.32,1,4116,3
"102901",0.45,0,103,1112
"102926",0.24,0,14368,1124
"102928",0.31,1,53,1428
"102935",0.11,0,12,6113
"102952",0.13,0,2715,121
"102985",0.12,1,125,1094
"10299",1,0,128,3895
"10318",1,0,362,1292
"103264",0.29,1,208,71
"103265",0.26,1,208,1149
"103301",0.56,1,568,1132
"103338",0.32,0,261,1118
"103350",0.19,1,23,1701
"10339",1,1,1974,1145
"103405",0.32,0,405,69
"103442",0.2,1,405,1166
"10352",0.92,1,128,1821
"10354",1,0,826,1114
"103542",0.26,0,122,3159
"103554",0.2,0,47,1457
"103643",0.5,1,41,1103
"103675",0.59,0,3184,635
"10372",0.35,0,64,101
"103761",0.21,0,97,1026
"103827",0.4,0,522,1080
"10387",0.79,0,1974,218
"10389",0.8,0,81,1113
"103892",0.05,1,4116,116
"103966",1,1,1313,704
"103972",1,0,109,62
"103988",0.66,1,170,1092
"104031",1,0,399,78
"104112",0.91,0,9,1206
"104135",1,1,1313,1089
"104167",0.54,1,18,1991
"104179",1,0,754,575
"104181",0.26,0,203,101
"10419",0.75,1,230,1099
"104208",0.11,1,4116,501
"104259",1,1,12,1085
"104323",1,1,493,1127
"104330",1,0,24,1140
"104399",1,0,131,1036
"104439",1,0,117,1115
"10444",0.45,0,1974,1647
"104445",1,0,3866,1097
"104445",1,0,3866,66
"10446",0.02,1,1974,861
"104460",0.93,0,197,1123
"104465",0.63,0,4436,43703
"104467",1,1,283,1159
"104529",1,0,798,1131
"104529",1,0,798,3264
"104546",0.81,0,5202,2434
"104566",0.49,0,405,1035
"104590",1,0,295,41
"104594",1,0,37,1136
"104626",1,0,43,1951
"104631",0.93,1,214,442
"104654",1,0,137,1209
"104671",0.76,1,14,1202
"10468",1,0,1974,1093
"104691",0.47,0,3545,2589
"104720",0.18,0,295,610
"10476",0.65,0,29,379
"104764",0.34,0,14,92
"104797",1,1,1313,253
"104799",1,0,48,1152
"1048",0.49,0,27000,1768
"104807",1,0,39,1083
"104825",1,0,222,4971
"10492",0.94,0,88,1119
"104940",1,1,4128,1166
"104952",1,1,125,1139
"104986",1,0,59,70
"105009",1,0,238,1116
"105050",1,1,193,368
"105062",1,0,831,1132
"105063",1,0,165,1294
"105080",0.04,1,210,1117
"105098",0.74,0,182,63
"10511",0.72,0,80,1086
"105159",0.19,1,27000,80
"105189",1,1,1191,1225
"105209",0.38,1,27000,538
"105223",1,1,1175,1153
"105240",1,0,2575,325
"105248",1,1,473,1154
"105251",1,1,19,1118
"10530",0.31,0,298,285
"105315",1,1,76,1097
"105362",1,1,4128,1139
"105365",1,1,1943,1127
"105372",1,1,91,1118
"105381",1,0,1054,1202
"105466",1,0,473,1084
"105468",0.44,1,44,1127
"105476",0.68,1,282,440
"105508",1,0,27000,1149
"105508",1,0,27000,209
"105539",1,0,983,97
"105550",1,0,66,1156
"105618",1,0,125,447
"105646",0.85,0,4116,1027
"105646",0.85,0,4116,4517
"105777",1,0,30,1100
"105786",1,0,102,1185
"105791",1,0,405,1178
"105821",1,0,17140,148
"105853",0.57,0,8,2556
"10586",1,0,85,928
"105863",1,1,105,82
"105899",1,0,60,2353
"1059",0.51,0,949,584
"105949",0.85,0,287,1176
"105960",1,1,71,1141
"106027",1,0,473,5804
"106027",1,0,473,1146
"106032",1,1,109,1094
"106073",1,0,138,1137
"10608",0.55,0,3541,1084
"106085",1,0,741,1711
"106107",1,0,27,74
"106168",1,0,27,1138
"106212",1,0,2715,2185
"106245",1,0,105,576
"106254",1,0,46,1142
"106256",1,0,64,1114
"106274",0.58,0,46,1116
"10638",0.16,1,213,88
"106389",0.61,0,295,57
"106418",1,1,76,1128
"10643",0.79,0,657,630
"106443",0.36,1,92,2220
"10646",0.57,0,657,1090
"106463",1,0,1054,1112
"106479",1,0,405,1100
"10649",0.16,0,657,1176
"106525",1,0,22,371
"106532",1,0,13,1172
"106547",0.78,0,19,2236
"106576",1,0,4116,1044
"106583",0.97,0,27,66
"106594",0.88,1,25,5432
"10664",0.83,0,20,1142
"106674",1,0,722,1092
"106724",1,0,1193,71
"106740",1,1,983,1114
"106836",1,0,473,1337
"10685",1,0,657,1137
"106856",0.69,1,1192,1097
"106864",0.91,0,175,78
"106874",1,0,151,1120
"106880",0.47,0,48,56
"106885",1,0,473,1091
"106929",1,0,146,89
"106929",1,0,146,1421
"106944",0.66,1,90,202
"106957",1,0,1165,1140
"106960",0.5,1,52,193
"106986",0.05,1,32,79
"106998",1,1,1064,1119
"107068",0.81,1,61,82
"10707",0.56,1,657,1064
"107090",1,0,405,595
"107097",0.84,1,37,1136
"107129",1,0,4496,463
"107130",1,0,16,580
"107204",1,1,76,1145
"107205",1,0,399,155
"107242",0.74,1,2715,90
"107255",1,0,4116,81
"10727",1,0,965,58
"107270",1,0,4087,1174
"107344",0.31,1,801,1096
"10735",1,1,12,922
"107360",1,0,1974,1144
"107360",1,0,1974,1070
"107376",1,0,25,622
"107411",1,1,196,1144
"107427",1,0,4128,1125
"107484",0.57,0,152,72
"107517",0.1,0,172,4296
"107532",1,1,111,1097
"107547",1,1,98,1075
"107554",1,1,4116,1129
"10757",0.16,1,657,1122
"107580",1,1,62,130
"107584",0.03,1,24,7154
"107651",1,0,354,1106
"107686",1,1,66,201
"107692",1,1,3386,1133
"107696",1,1,333,165
"107700",1,0,200,1160
"107799",0.92,0,44,541
"107869",1,0,137,326
"107875",0.11,1,155,1152
"108028",1,0,22,1154
"108126",0.23,1,52,1046
"108149",0.74,0,53,1144
"108169",1,0,634,1115
"108236",1,1,528,1068
"108251",0.51,0,307,1209
"108364",1,1,91,1119
"108369",1,1,115,1123
"108384",1,0,399,1184
"108392",0.64,1,405,66
"108440",1,0,109,2798
"108490",0.22,1,38,979
"108496",0.55,0,7187,3556
"10851",0.36,1,57,1147
"10853",1,0,2694,86
"108533",1,1,91,1140
"108545",0.52,0,405,1648
"108564",1,1,105,1151
"108568",1,0,405,1089
"108589",1,1,111,1130
"108622",1,0,1729,1545
"108623",1,0,4116,1145
"108667",0.92,0,16,3591
"108688",1,1,37,1141
"108776",1,1,1153,151
"108783",1,0,1165,914
"108807",1,0,149,1060
"108823",1,1,24,1157
"108848",1,0,83,1140
"108876",1,1,155,737
"108884",0.6,0,405,5255
"108892",1,0,16,1125
"108915",1,0,4116,1131
"10893",1,0,393,2036
"108939",0.64,0,48,1129
"108955",1,0,399,12964
"108963",0.58,0,12,4708
"108980",1,0,164,1139
"10900",0.57,0,4116,797
"109207",0.73,0,358,15
"109222",1,1,4116,96
"109224",1,1,22,276
"109252",1,1,2044,1307
"109271",0.84,0,10008,2818
"109271",0.84,0,10008,2605
"109298",1,0,28,1177
"109312",1,0,399,1086
"109326",1,0,6705,1142
"10939",1,1,1313,2240
"10940",0.03,0,15,4675
"109415",1,0,94,15
"109428",1,0,4128,475
"109444",0.81,0,17,151
"109465",1,0,722,5511
"109493",1,0,115,1196
"109511",1,0,983,688
"109511",1,0,983,606
"109532",0.44,0,3386,1165
"109653",1,0,43,374
"109660",1,0,40,997
"109661",0.89,1,64,263
"109675",1,0,203,1097
"109678",0.37,0,88,1113
"109684",0.73,1,88,4284
"109688",1,0,29,196
"109697",1,1,5,26
"109698",0.67,1,23,1119
"109708",1,1,29,3688
"109740",1,0,12,1191
"109742",1,0,30,1183
"109775",0.46,1,222,672
"109806",0.54,1,64,1100
"109834",1,1,4116,1140
"109840",1,0,4116,1141
"109840",1,0,4116,375
"109874",0.52,1,2715,1097
"109915",0.85,0,3386,1125
"109931",1,1,153,100
"109960",0.04,0,831,1092
"109986",0.34,1,678,1090
"109990",1,1,229,1151
"109993",1,0,957,758
"110010",0.64,0,1244,1118
"110028",0.66,0,88,3101
"110031",1,1,2805,7579
"110035",0.06,0,881,1120
"110104",0.1,0,10,4798
"110137",0.05,0,91,1130
"110138",0.9,0,91,65
"110147",1,1,27,1164
"110150",0.03,1,186,358
"110176",0.68,1,153,1758
"110211",1,1,27,1162
"110214",1,0,741,1081
"110216",1,1,51,1100
"110219",0.15,0,30,2217
"110251",1,0,105,2462
"110256",1,1,191,1090
"110267",1,1,41,1088
"110270",0.41,0,67,292
"110275",1,0,29,942
"110275",1,0,29,272
"110297",1,0,831,1187
"110304",0.52,0,3541,3441
"110319",0.85,0,312,1141
"110320",0.69,0,58,2815
"110337",1,0,575,1500
"110371",0.78,1,4128,149
"110389",0.75,0,1579,97
"110393",1,0,473,1178
"110399",0.75,1,747,1347
"110401",1,1,229,1157
"110404",1,0,3541,56
"110409",1,0,634,2191
"110451",0.25,0,1376,4800
"110457",1,0,23,1155
"110498",1,0,1296,50
"110502",1,1,27000,572
"110507",1,0,26,7155
"110513",1,1,44,1131
"110516",1,0,1974,1145
"110516",1,0,1974,1119
"110545",0.8,0,4456,60
"110557",1,0,394,1072
"110561",1,1,65,74
"110577",1,1,26,107
"110594",0.89,1,522,1533
"110612",1,0,713,968
"11062",0.88,0,27000,1144
"110687",1,0,530,1154
"110707",0.45,0,394,75
"110710",1,0,522,1044
"110713",0.5,1,657,4554
"110714",0.49,0,657,2638
"110726",0.26,1,1313,81
"110801",0.96,1,91,1171
"110823",0.95,1,8,204
"110839",1,0,20,1961
"110863",0.5,0,13,1152
"110896",1,0,4116,256
"110910",0.95,0,16,2551
"110973",0.75,1,38,1143
"110978",1,0,31,3077
"110981",1,0,1313,1147
"111037",0.89,1,13,1659
"111052",1,1,1313,1140
"111070",1,0,13,1125
"111070",1,0,13,1069
"111095",1,1,45,1155
"111162",1,0,62,1334
"111163",1,1,1604,21558
"111164",0.51,1,238,1468
"111183",1,1,283,1200
"111189",1,1,167,1156
"111203",1,0,983,1082
"111207",0.71,0,44,2535
"111225",1,1,42,1983
"111264",1,0,26,1075
"111272",0.59,0,39,1062
"11128",0.74,1,1313,351
"11129",1,0,84,1177
"111302",0.64,0,50,1180
"11132",1,0,30,1652
"111352",1,1,109,646
"11137",0.25,0,214,1730
"11139",0.48,0,105,335
"111422",1,0,61,657
"11149",0.63,1,19,143
"111508",1,0,48,1126
"111509",1,1,27000,1087
"111522",1,1,2805,1158
"111524",0.68,1,826,166
"111534",1,1,59,1027
"111541",1,1,79,2355
"111571",1,0,1943,1173
"111572",1,1,831,1078
"111582",1,1,82,1090
"111600",1,0,1027,1135
"111642",1,0,14,865
"111677",0.41,0,3386,1179
"111749",1,1,95,6
"111778",1,0,4128,1696
"111790",1,1,20,361
"111809",0.75,0,634,1141
"111811",0.85,0,94,1178
"111854",1,0,205,1176
"111933",1,1,229,1094
"112014",1,1,37,1460
"112040",0.77,0,657,25
"11205",1,0,214,1132
"112053",1,1,4393,882
"112061",0.2,0,311,1120
"112075",0.5,1,38,1168
"112088",1,0,131,589
"112089",1,1,54,1860
"112091",0.75,1,30,1597
"112144",0.01,0,126,3357
"112149",1,1,1064,652
"112161",1,0,405,1114
"112169",1,1,741,1125
"112181",1,0,57,1108
"112195",0.72,0,467,579
"112250",1,0,94,1127
"112261",1,0,287,599
"112275",0.83,0,91,1164
"112275",0.83,0,91,1073
"112280",1,0,20,1147
"112282",1,0,131,893
"112320",1,0,146,436
"112326",0.64,0,4128,1154
"112368",1,0,405,2241
"112374",0.36,1,120,1160
"112398",1,0,66,1543
"112468",1,1,10,421
"112477",0.91,0,461,1061
"112480",0.06,0,33,2381
"112597",0.61,1,73,1139
"112609",0.62,1,614,689
"112621",1,0,84,1163
"112631",1,0,282,1099
"112631",1,0,282,1119
"112644",1,0,614,1231
"112644",1,0,614,1842
"112651",1,1,405,18710
"112687",0.16,0,2715,61
"112712",1,1,32,1180
"112716",0.66,1,65,780
"112726",0.12,1,881,1070
"112730",1,0,58,1143
"112737",1,0,83,209
"112739",0.47,0,91,421
"112739",0.47,0,91,1121
"112752",1,1,4116,1101
"112769",0.68,1,644,1149
"112807",0.73,0,983,552
"112807",0.73,0,983,445
"112832",1,0,1284,393
"112859",1,1,983,1164
"112884",1,0,741,586
"113012",1,1,87,1092
"113036",1,0,83,1177
"11306",0.33,0,17140,1165
"11307",0.42,0,17140,1169
"113074",1,0,14,595
"113092",1,0,473,1108
"113096",1,0,436,594
"113114",1,0,27,1090
"113184",0.96,0,1630,326
"113235",0.78,1,128,1134
"113283",1,1,983,1162
"113283",1,1,983,1197
"113313",1,1,126,1131
"11332",0.41,0,421,1729
"113339",1,1,1846,1121
"113350",0.04,0,12,823
"113366",1,1,473,1203
"113374",1,0,405,1110
"113414",0.83,1,45,1118
"11344",0.45,0,4116,1096
"113440",0.91,0,713,567
"11347",0.74,0,4116,1400
"113473",0.13,1,754,122
"113475",0.73,0,754,1538
"1135",0.54,0,10961,1458
"11352",0.54,1,358,1125
"113535",1,0,1237,1131
"113560",1,0,40,565
"113585",0.3,0,122,1127
"113611",1,0,46,1122
"113643",1,0,1284,1126
"113670",0.27,0,91,1534
"113677",1,0,10,1104
"113726",1,1,354,1150
"113734",0.76,0,484,148
"113757",0.98,1,18229,59
"11382",1,0,4116,68
"11382",1,0,4116,1172
"11384",0.3,0,754,2126
"113841",1,0,6336,1051
"113851",0.46,0,169,537
"113871",0.43,1,678,713
"113871",0.43,1,678,135
"113881",0.16,1,91,1058
"113886",1,0,27,545
"113892",1,1,39,1135
"11390",0.08,0,4116,1755
"113911",1,0,878,259
"113931",1,0,1284,80
"113939",1,1,989,1147
"113949",0.33,0,405,1087
"11397",0.16,0,1109,1214
"113998",1,1,6681,1177
"114043",0.05,1,29,1491
"114060",0.47,1,1313,1240
"114061",0.52,1,1313,1135
"114064",0.68,0,473,1103
"114081",0.74,1,18,1189
"114089",0.52,0,461,1100
"114090",0.66,0,56,57
"114102",0.59,0,617,4420
"114140",0.76,0,283,1556
"114144",1,0,9,1833
"11417",1,1,1109,1110
"114207",1,0,3021,1108
"114231",1,1,14,1149
"114296",1,1,214,1056
"11430",1,0,4116,1149
"11434",0.91,1,632,547
"114362",0.38,0,27000,1115
"114368",1,0,1313,1106
"114391",0.23,0,174,1074
"114442",1,1,35,1165
"114456",1,0,16,1117
"114492",0.34,0,16,873
"114502",1,0,59,592
"114511",1,1,476,1008
"114522",0.92,0,451,15722
"114522",0.92,0,451,550
"114558",0.91,0,249,1506
"114588",1,0,84,13430
"114590",0.54,0,347,1115
"114592",0.58,1,292,1676
"114621",1,1,50,505
"114630",1,1,39,2077
"114632",0.06,1,76,1146
"114677",0.74,0,37,1153
"114720",1,0,30,622
"114753",1,1,16,1106
"11479",0.47,1,4116,1104
"114794",1,1,473,2112
"114795",0.35,1,295,1092
"114846",1,1,431,1165
"114867",1,0,19,1118
"11490",1,1,370,1130
"114926",0.2,0,747,1139
"114966",0.67,0,405,1161
"114975",0.89,0,146,2304
"114993",1,0,405,64
"115049",1,1,203,11
"115064",1,0,405,979
"115079",1,0,461,1167
"115079",1,0,461,1067
"115084",0.75,0,95,1305
"115095",1,0,99,1130
"115110",1,0,127,1159
"115119",1,0,18,557
"115149",0.47,0,1943,1115
"115178",0.32,0,796,360
"115214",0.42,0,3866,1092
"115260",0.57,1,50,1410
"11528",0.99,0,6465,172
"115282",0.31,0,176,3532
"115301",1,0,295,727
"11532",0.54,0,4116,3507
"115345",0.32,1,44,5550
"115346",0.43,1,44,1589
"115356",0.61,0,27000,28
"115365",0.63,1,60,89
"115393",1,1,511,1149
"115401",1,0,51,1093
"11541",0.29,1,1600,61
"115472",0.99,0,168,445
"115488",1,0,4128,1137
"115497",0.88,1,28,841
"11551",0.19,1,1109,182
"115522",1,1,94,1100
"115526",1,1,27000,1913
"11555",0.75,0,168,1130
"115558",0.74,1,163,1116
"115567",0.81,0,252,73
"115584",0.96,1,102,1484
"115601",0.24,1,5763,1159
"115606",0.25,0,105,1064
"115611",1,1,3866,1119
"115694",0.58,0,61,1159
"115706",1,0,4427,1364
"115734",1,0,300,1144
"115762",0.47,0,747,73
"115779",0.7,0,983,1129
"115789",1,1,32,4449
"115831",1,0,307,370
"115864",0.45,1,222,77
"115880",1,0,233,58
"115891",1,0,405,1115
"115918",1,0,568,1132
"115924",1,1,27,10098
"115925",1,0,27,313
"115926",1,0,22,552
"11594",0.2,1,4116,1100
"115982",1,0,308,2549
"116000",0.88,0,42,3842
"116013",0.89,1,50,1160
"116017",0.91,0,405,1073
"11607",0.83,1,4116,1471
"116075",1,1,64,1153
"116080",1,0,182,1900
"116097",0.03,1,672,71
"116114",1,0,88,1140
"116123",1,0,61,1125
"116240",0.37,0,93,4306
"116269",0.19,0,27000,2456
"116269",0.19,0,27000,1539
"116270",0.8,0,27000,949
"116272",1,1,5859,1117
"116303",0.46,0,18,1156
"116368",0.79,0,4128,1119
"116387",1,1,448,1120
"116405",1,0,1054,1166
"116430",1,1,913,926
"116430",1,1,913,1134
"116476",0.38,0,29,610
"116488",1,0,104,4255
"116492",1,1,405,493
"116492",1,1,405,332
"116496",1,0,77,3740
"116501",0.93,0,132,874
"116533",1,1,53,1092
"116571",1,0,2044,179
"116589",1,1,3866,1087
"116625",1,0,44,300
"116625",1,0,44,1111
"116631",0.6,0,133,1103
"116709",0.52,1,27,1183
"116726",0.67,0,634,1161
"116735",0.57,0,30,5542
"116775",0.17,0,358,1137
"11682",0.5,0,4116,1101
"11683",0.09,0,4116,1547
"116831",1,0,229,1562
"116869",1,0,17,1148
"116902",1,0,1313,91
"116940",1,1,1329,1188
"116941",0.21,0,238,2054
"116949",1,0,149,84
"116956",1,0,405,1160
"116958",1,0,1109,1092
"116961",1,0,295,1116
"117099",1,0,405,141
"117132",1,0,831,98
"117144",1,1,29,578
"117148",1,0,420,1087
"117164",1,0,522,1063
"117183",0.27,0,5,1110
"117184",1,0,1974,353
"11720",1,0,421,1143
"117241",1,0,644,1636
"117242",1,1,25,869
"11726",1,0,286,1085
"117262",1,1,2211,1083
"117265",0.96,1,149,1155
"117284",1,0,94,1165
"117287",0.75,0,4128,1145
"117332",1,0,821,1152
"117342",0.54,0,56,1172
"11736",0.93,1,754,1007
"117385",1,0,983,1130
"117392",1,0,68,1336
"117411",1,1,23,93
"117412",0.84,0,53,1589
"11743",0.5,0,821,1116
"117430",1,1,405,1190
"117432",0.02,1,18,678
"117446",1,1,1314,1183
"117452",1,0,886,80
"11748",0.56,1,5053,1107
"117486",1,0,358,529
"117496",0.87,0,68,1134
"117508",0.88,1,116,7273
"117516",1,0,31,131
"117533",1,1,657,1181
"117560",0.92,1,283,774
"117570",0.89,1,4116,1400
"11758",1,1,421,36
"117670",1,1,44,1097
"117674",0.45,0,88,276
"117704",0.84,0,283,1132
"117723",1,0,41,3586
"117723",1,0,41,1128
"117724",1,1,295,468
"117727",1,1,12,1086
"117729",0.39,1,57,1152
"117729",0.39,1,57,1159
"117732",1,1,38,5502
"11776",0.83,0,1332,1134
"117762",0.95,0,1171,73
"117774",1,0,78,1111
"117798",1,0,4128,1129
"11782",0.47,1,1867,1136
"117825",0.45,0,2715,1105
"117874",0.48,1,170,270
"117877",0.93,0,1313,28
"117878",1,0,1313,975
"117885",1,0,106,1183
"117886",1,0,1313,3609
"11790",1,0,307,1119
"11790",1,0,307,4611
"117928",0.9,0,16291,14886
"117950",1,1,1055,1545
"117974",1,1,44,1177
"117974",1,1,44,1128
"117983",1,0,448,1328
"11799",0.61,1,26,1109
"118022",1,0,149,1144
"118040",1,1,399,1129
"11805",1,0,168,1108
"118055",1,0,229,1153
"118062",0.55,0,451,10011
"11809",0.58,1,168,1182
"118091",1,1,295,2406
"11810",1,0,10,835
"118110",0.5,0,167,322
"118119",1,0,94,1133
"118123",1,0,229,1390
"118131",1,0,1929,1165
"118134",0.96,1,511,85
"118150",0.46,0,48,722
"118194",0.61,1,222,1117
"118197",0.81,0,126,1202
"11824",0.96,1,4116,87
"118271",1,0,490,2754
"118287",1,0,29,390
"118314",1,0,229,1779
"118328",1,0,2103,1147
"11836",1,0,44,1122
"118369",0.55,1,106,604
"11839",0.24,0,22,1127
"118392",1,1,1329,246
"11840",0.21,0,22,2618
"118410",0.86,1,118,1379
"118412",1,1,1313,1154
"118419",1,1,3366,1143
"118423",1,0,3021,1154
"118460",1,1,214,806
"118463",1,1,27,136
"118467",0.51,1,45,635
"118523",0.3,0,473,1151
"118525",0.72,1,37,1172
"118527",1,0,105,661
"118549",0.04,0,29,473
"118580",1,0,27000,163
"118604",1,0,46,652
"118607",0.61,1,91,1676
"118615",0.72,1,3852,136
"118649",0.58,0,461,1153
"118669",1,1,20,1115
"118694",0.14,1,3021,1155
"118699",0.08,1,105,87
"118734",1,1,4116,52008
"118743",0.51,0,522,291
"118743",0.51,0,522,64
"118744",1,0,634,3282
"118765",1,1,522,1129
"1188",0.42,0,1248,31889
"1188",0.42,0,1248,556
"118818",1,1,105,1183
"118820",1,0,983,679
"118896",1,1,405,1146
"118948",0.38,0,57,2642
"118969",1,0,6485,1121
"118982",1,1,302,1146
"118982",1,1,302,1084
"119027",0.86,0,45,100
"119066",1,1,17,1085
"119106",0.43,0,4087,1175
"119119",0.91,0,32,233
"119128",1,1,71,1121
"119157",1,0,282,1104
"119188",1,0,657,1142
"119195",1,0,41,1156
"119206",1,1,44,1116
"119211",0.85,1,35,523
"119225",1,0,983,1240
"119228",1,0,3386,1098
"119236",1,0,39,64
"119251",1,1,473,72
"119272",0.46,1,983,1131
"119272",0.46,1,983,1083
"119333",1,0,15725,541
"119341",1,0,3541,57
"119348",0.11,1,94,316
"11935",0.75,0,12374,195
"119358",1,1,76,335
"119392",1,1,1054,463
"11940",0.1,0,115,1164
"11940",0.1,0,115,2801
"119406",1,1,24,136
"119417",0.61,0,42,822
"119431",1,1,48,1141
"119447",1,1,50,82
"11945",1,1,175,1104
"119550",0.35,0,3564,1863
"119557",0.9,1,71,1121
"119589",0.08,0,37,577
"119592",1,1,713,1154
"119627",1,1,50,1921
"119631",1,1,16,1062
"119652",0.4,0,4116,979
"119666",1,1,131,63
"119677",0.12,0,3021,100
"119691",1,1,35,1087
"119693",0.67,0,57,419
"119730",1,0,229,162
"119748",1,0,298,562
"119783",1,0,4128,1164
"119796",0.7,1,298,2191
"119796",0.7,1,298,1130
"119803",0.44,0,741,2896
