"VehYear","Area","StateAb","PremTotal","Affiliation","ExposTotal","SumInsAvg","AggClaim"
2002,"grp8","CE",390.19,1,0.46,16300.52,2335
1996,"grp9","PR",9593.17,1,22.71,8176.03,10150
2008,"grp9","RS",9883.81,1,18.01,34503.03,4461
2003,"grp15","SP",1368.49,1,2.01,17957.99,278
2009,"grp26","PA",19364.04,1,16.98,45433.07,1350
2006,"grp38","MG",17156.65,1,23.06,30666.4,1352
2010,"grp15","SP",361.28,1,0.5,38682.96,36
2010,"grp5","BA",2673.67,1,1.76,21445.14,1671
2011,"grp30","SP",7142.07,1,5.88,28904.69,2916
2010,"grp38","MG",9855.69,1,10.55,36139.91,2271
2010,"grp5","BA",35891.4,1,40,28456.78,3767
2007,"grp30","SP",11078.38,1,17.36,23175.52,46131
2004,"grp36","MG",1313.63,0,0.5,26245.99,3539
2009,"grp29","PI",311.03,1,0.5,28400.44,1388
2003,"grp16","MA",1807.44,1,1.51,25446.71,50
2009,"grp40","SP",248.17,1,0.09,48324.99,3875
1995,"grp30","SP",130.69,1,0.02,82065.99,145
2009,"grp19","PR",1726.64,1,1.53,32163.05,1619
2009,"grp20","SP",66434.57,1,56.21,46254.07,7435
2005,"grp12","GO",19835.51,1,27.17,20568.36,4169
2007,"grp8","CE",2668,1,0.5,86296,16851
2006,"grp14","RJ",3007.96,1,2.12,37013.28,4643
2009,"grp36","MG",7410.17,1,7.66,32695.9,4829
2009,"grp30","SP",41780.93,1,63.09,29194.4,11858
2005,"grp21","RJ",1149.51,1,1.02,32565.9,11848
2010,"grp9","RS",3382.19,1,4.12,28859.32,9123
2011,"grp19","PR",906.85,1,0.56,56562.66,1043
2006,"grp24","MG",974.26,1,0.77,31621.13,321
2010,"grp9","RS",15063.2,1,23.51,31415.52,110
2010,"grp18","MS",8614.87,1,9.35,31854.83,201
2008,"grp14","RJ",43943.97,1,61.64,26418.2,5838
2003,"grp13","SP",2301,0,0.5,120869.99,68
2007,"grp23","RS",1312.48,1,1.07,20301.4,37
2001,"grp6","SC",2513.33,1,3.27,21299.62,1
2008,"grp23","RS",6694.33,0,1.3,145140.41,64153
2008,"grp36","MG",1498.64,1,0.5,127795.99,5213
2011,"grp37","TO",1684.69,1,0.83,37185.36,212
2004,"grp9","PR",15440.81,1,3.29,122497.25,22393
2008,"grp15","SP",1564,1,1,53009,67
2010,"grp19","PR",25609.66,1,26.26,24964.11,1
2006,"grp28","PE",175.24,0,0.25,80443,10640
2005,"grp28","PE",466.03,1,0.5,28172.99,67
2005,"grp20","SP",1121.82,1,1.01,36465.55,36
2011,"grp22","SC",3590.45,1,4.04,61192.5,3800
2006,"grp33","RR",310.68,1,0.5,24415.99,1286
2006,"grp24","MG",16498.75,1,20.07,20646.83,5980
2011,"grp5","BA",9802.71,1,5.81,46079.7,46275
2000,"grp20","SP",20288.08,1,21.86,18648.06,1675
2009,"grp9","RS",13455.04,1,8.4,41921.67,443
2009,"grp21","RJ",9525.73,1,9.15,39953.47,2705
2007,"grp30","SP",25750.93,1,22.78,30541.79,69013
2009,"grp40","SP",32597.04,1,38.88,25113.99,29333
2008,"grp38","MG",53870.72,1,84.31,22955.82,21424
2006,"grp20","SP",12147.54,1,12.2,19730.09,21298
2005,"grp19","PR",3232.05,1,3.72,27995.9,115
2008,"grp37","TO",5006.58,1,1.89,67423.59,3984
2009,"grp24","MG",8058.87,1,7.82,32663.26,3292
2008,"grp9","PR",5952.4,1,2.46,91518.08,94741
2006,"grp30","SP",6460.23,1,6.91,22300.34,2682
2010,"grp23","RS",160.92,1,0.23,6826.99,1191
2001,"grp5","BA",2652.64,1,2.56,16147.68,79
2009,"grp30","SP",451.22,1,0.44,33635,9655
2009,"grp25","SC",266.44,1,0.5,20591,1247
2007,"grp24","MG",9260.45,1,9.16,41153.65,2848
2010,"grp21","RJ",48302.97,1,31.11,27735.91,9813
2006,"grp30","SP",1001.86,1,0.46,46869.16,621
2009,"grp20","SP",16872.73,1,10.3,48883.1,352
2009,"grp20","SP",1433.28,1,1,47608,7661
2007,"grp12","GO",1681.79,1,1.62,31552.48,576
2007,"grp21","RJ",31843.6,1,30.63,34884.5,103
2009,"grp6","SC",10457.94,1,6.36,47982.98,5876
1999,"grp40","SP",808.89,1,0.5,33995,240
2010,"grp21","RJ",4693.39,0,1.12,161863.94,551
2004,"grp20","SP",418.27,1,0.5,19587,20118
2001,"grp5","BA",697.77,1,0.5,44320.76,304
2007,"grp38","MG",1085.8,1,2.02,25423.55,230
2008,"grp1","AC",1865.98,1,1.89,37179.65,2319
2003,"grp5","BA",4838.44,1,6.85,16728.61,228
2009,"grp37","TO",857.28,1,1.66,20807.88,2976
2010,"grp8","CE",8827.6,1,1.9,182282.14,800
2006,"grp14","RJ",4397,1,1.01,82862.88,92
2007,"grp5","BA",17926.13,1,26.29,20420.64,484
2002,"grp20","SP",10150.17,1,8.79,17160.82,15117
1974,"grp13","SP",1687.79,0,0.5,29899.99,59000
1999,"grp20","SP",489.32,1,0.38,11565.68,67
2004,"grp40","SP",1121.93,1,1.68,22121.41,79
1999,"grp36","MG",1329.81,1,1.85,14012.91,120
2010,"grp38","MG",2439.41,1,1.15,54427.78,1207
2007,"grp22","SC",3376.8,1,6.75,25465.3,8596
2008,"grp1","AC",1123.1,1,0.5,56189.99,742
2008,"grp21","RJ",36361.34,1,30.1,36905.12,40771
1997,"grp20","SP",10763.7,1,14.52,11938.47,950
1997,"grp38","MG",609.18,1,0.73,14139.74,14275
2009,"grp5","BA",12460.77,1,8.35,52088.01,422
2007,"grp28","PE",4822.24,1,4.65,29513.18,487
2008,"grp19","PR",23780.57,1,20.55,27017.61,62604
2002,"grp20","SP",2573.02,1,1.12,40376.01,134
2004,"grp20","SP",100315.77,1,86.08,34229.06,22303
1996,"grp31","RN",648.9,1,1.01,11310,72
1999,"grp20","SP",717.43,1,0.5,18449.87,67
2010,"grp38","MG",1356.41,1,1.61,39266.11,1304
2006,"grp5","BA",2410.02,1,2.15,26415.18,134
2005,"grp30","SP",40237.99,1,80.77,21051.78,18368
2009,"grp19","PR",667.16,0,0.61,28333,2215
2011,"grp24","MG",31327.68,1,29.35,35554.34,33
2011,"grp30","SP",6552.4,1,8.33,49815.49,1912
2001,"grp13","SP",863.19,1,0.5,36487.99,36
2009,"grp9","PR",25664.85,1,17.86,43646.05,14479
2009,"grp30","SP",239228.96,1,442.45,26065.11,112613
2002,"grp19","PR",10141.77,1,20.56,15755.92,2988
2009,"grp9","RS",2857.94,1,1.95,48857.22,3315
2003,"grp34","SE",6656.4,1,11.27,16538.5,79
2005,"grp24","MG",4222.25,1,3.05,21264.53,4463
2003,"grp20","SP",6172.16,1,3.03,36500.87,206
1998,"grp20","SP",23612.3,1,31.71,11110.74,21306
2000,"grp20","SP",14072.76,1,12.59,17274.12,17864
2010,"grp30","SP",6987.77,1,8.78,28393.08,6377
2007,"grp30","SP",18666.99,1,8.4,67420.61,61824
2009,"grp23","RS",9598.85,1,8.97,41714.99,8952
2002,"grp21","RJ",14092.63,1,9.53,20230.08,17992
1999,"grp12","GO",2152.06,1,1.46,26554.55,152
1998,"grp20","SP",14566.88,1,16.06,12864.13,1195
2009,"grp24","MG",30053.13,1,36.11,24185.62,10752
2010,"grp6","SC",4366.91,1,6.02,25269.49,31089
2001,"grp21","RJ",25631.27,1,36.97,14024.8,4764
2006,"grp30","SP",4967.01,1,4.49,31604.35,32780
2008,"grp28","PE",57301.14,1,78.43,20960.68,21432
2009,"grp20","SP",15350.85,1,14.06,21719.24,10612
2005,"grp9","RS",5207.34,1,7.53,25783.63,2288
1997,"grp30","SP",706.63,1,0.22,33193,280
2004,"grp15","SP",3108.59,1,4.15,21855.58,536
2004,"grp9","RS",2131.26,1,3.67,18193.42,436
2001,"grp11","PR",11946.62,1,22.26,14694.35,3951
2008,"grp6","SC",13055.06,1,20.16,19604.53,3201
2005,"grp20","SP",6317.39,1,5,18094.62,19470
2008,"grp30","SP",46366.78,1,60.66,22714.77,9623
2005,"grp38","MG",4301.69,1,5.11,24641.21,12490
2007,"grp20","SP",17593.8,1,8.94,48054.06,6758
2000,"grp20","SP",1141.57,1,1.51,15392.34,213
2001,"grp20","SP",8290.15,1,2.78,45539.2,67
2004,"grp38","MG",4599.1,1,6.81,21573.71,2132
2006,"grp40","SP",21577.36,1,31.51,23256.34,28672
2010,"grp12","GO",1350.05,1,1.45,30680.11,49
2005,"grp36","MG",505.23,1,0.43,63399,1074
2008,"grp20","SP",872.98,1,0.52,38435.88,157
1999,"grp20","SP",1136.22,0,0.5,17497.47,23550
1994,"grp30","SP",4478.99,1,9.41,6518.46,170
2003,"grp19","PR",7478.77,1,7.34,23094.48,2975
2007,"grp5","BA",6132,1,4.15,43328.03,4025
2009,"grp9","PR",5826.86,1,3.89,42868.81,1219
2008,"grp14","RJ",44999.48,1,64.59,20629.18,38150
1995,"grp23","RS",823.89,1,1.02,8565.75,1
2011,"grp19","PR",2680.68,1,3.3,36918.94,1300
2008,"grp23","RS",50804.95,1,22.37,88289.15,23876
2009,"grp30","SP",3291.01,1,1.39,66636.22,820
2005,"grp16","MA",315.71,1,0.5,25212.99,60
2008,"grp30","SP",3207.92,1,2.91,28195.53,3459
2009,"grp13","SP",6805.84,1,6.63,22940.57,36
2007,"grp14","RJ",5655.36,1,7.22,22305.68,23275
2006,"grp13","SP",24167.1,1,25.63,17714.48,2475
2009,"grp36","MG",6230.36,1,7.04,40487.69,2887
2005,"grp13","SP",1353.29,1,1.84,18160.4,72
2004,"grp9","RS",411.47,1,1.01,23731.99,2405
2011,"grp21","RJ",844203.83,1,534.83,41658.5,98126
2011,"grp28","PE",399.16,1,0.5,42756,401
2008,"grp19","PR",10193.87,1,11.07,47236.95,2063
2009,"grp9","PR",53773.12,1,44.46,37195.95,29348
2011,"grp31","RN",3027.55,1,2.35,31573.81,6198
2006,"grp24","MG",500.96,0,0.5,22226.46,14940
2011,"grp23","RS",3893.09,1,2.27,45166.09,376
2004,"grp13","SP",2251.53,1,3.09,15747.52,36
2008,"grp20","SP",157151.86,1,218.15,23926.94,89127
2008,"grp20","SP",4705.14,1,3.4,45511.58,25
2000,"grp15","SP",573.6,1,0.5,16391.66,36
2010,"grp13","SP",445.08,1,0.15,99214.3,2048
2010,"grp28","PE",21438.57,1,19.76,25541.61,58955
2008,"grp17","MT",37389.95,1,39.47,20014.08,15614
2001,"grp28","PE",804.66,1,0.92,17678.65,57
2008,"grp27","PB",3644.21,1,4.67,36471.97,72
2000,"grp13","SP",2000.72,1,2.41,15290.81,36
2010,"grp30","SP",1818.72,1,1.47,29421.49,8261
2010,"grp10","ES",4950.87,1,6.26,25729.58,3224
1999,"grp24","MG",890.78,1,0.77,47500.41,21200
2009,"grp30","SP",200780.63,1,55.35,119946.52,44663
2009,"grp5","BA",8480,1,5.19,51570.29,36
2009,"grp17","MT",19587.33,1,15.66,62143.56,91130
2010,"grp20","SP",32281.67,1,22.4,45011.44,7314
2009,"grp26","PA",1515.7,1,1.01,50876.73,447
2010,"grp7","DF",5978.2,1,6.94,35523.82,68309
2002,"grp21","RJ",536.41,1,0.5,24293,24769
2001,"grp30","SP",2140.84,1,2.09,31739.26,196
1997,"grp20","SP",30799.81,1,51.4,8889.48,6198
2007,"grp20","SP",251.72,0,0.18,28485.99,489
2001,"grp20","SP",6089.64,1,2.83,46583.68,333
2003,"grp21","RJ",15165.23,1,18.04,14681.63,470
2003,"grp10","ES",1462.45,1,1.41,25078.34,170
2004,"grp20","SP",5142.12,1,5.06,21939.5,4655
1999,"grp20","SP",26030.57,1,30.8,17003.32,7914
2004,"grp9","RS",8677.63,1,9.5,22068.42,246
2007,"grp38","MG",1206.15,1,2.07,23783.97,411
2000,"grp9","RS",9840.58,1,16.71,19534.7,1512
2002,"grp24","MG",848.57,1,1.02,24374.71,36
2009,"grp12","GO",49011.93,1,61.58,27608.68,17785
2008,"grp21","RJ",5434.34,1,2.59,33474.78,31463
2005,"grp20","SP",16038.65,1,14.74,28091.96,614
2006,"grp13","SP",9631.32,1,4.77,39836.08,4421
2003,"grp7","DF",1869.3,1,2.33,16183.04,621
1990,"grp19","PR",123.67,0,0.5,0,118
2010,"grp24","MG",21443.75,1,22.63,23975.48,3761
2008,"grp20","SP",279.78,1,0.48,3621.17,67
2009,"grp23","RS",5521.91,1,4.03,23964.49,206
2005,"grp30","SP",8004.82,1,4.68,46458.7,3471
2009,"grp21","RJ",34216.2,1,28.07,48285.36,2998
2003,"grp9","RS",748.27,1,1.33,21061.09,4794
2005,"grp30","SP",786.33,1,0.69,26740.27,1
2009,"grp4","AM",889.83,1,0.5,58436,332
2010,"grp2","AL",20517.97,1,21.41,30524.79,8365
2009,"grp13","SP",17494.28,1,17.19,30280.31,4744
2007,"grp40","SP",2579.12,1,2.01,46488.85,80
2007,"grp30","SP",120.07,0,0.2,27029.99,3723
2001,"grp18","MS",506.75,1,0.5,17037,18870
2009,"grp30","SP",42473.91,1,61.63,35932.83,13940
2008,"grp13","SP",8427.55,1,4.8,77315.92,71916
2008,"grp6","SC",1278.74,1,1.08,38676.65,1996
2008,"grp30","SP",856.8,1,1.01,39564.63,48
1997,"grp20","SP",76220.86,1,98.9,10226.51,24475
1996,"grp13","SP",6829.66,1,10.59,11897.12,3352
2010,"grp26","PA",6856.94,1,8.04,27346.28,18744
2002,"grp20","SP",58059.37,1,64.5,24706.66,6538
1993,"grp30","SP",2436.08,1,5.28,6588.46,7712
2007,"grp16","MA",16607.78,1,5.03,87581.27,4867
2009,"grp30","SP",5379.73,1,1.98,116906.24,4229
1992,"grp40","SP",730.92,1,0.5,8936.14,134
2007,"grp9","RS",19534.61,1,22.87,30872.95,19869
2007,"grp10","ES",544.17,1,1.02,33669.09,36
2003,"grp30","SP",2379.31,1,3.63,18259.85,51
2006,"grp17","MT",264.27,1,0.27,27284.99,925
2007,"grp20","SP",211427.33,1,213.52,22123.37,145692
2001,"grp21","RJ",4319.34,1,4.29,16534.42,124
2004,"grp12","GO",9549.31,1,12.01,21017.51,8238
2008,"grp15","SP",519.1,1,0.5,28045.57,29293
2009,"grp24","MG",20610.68,1,26.18,33604.96,21245
2006,"grp21","RJ",1212.88,1,0.81,17775.38,17991
2005,"grp19","PR",259.53,1,0.16,27187.99,817
1996,"grp19","PR",946.16,0,1.01,27605.48,443
2011,"grp12","GO",2767.7,1,2.41,39338.74,1376
2008,"grp20","SP",20402.1,1,6.5,91909.7,2964
2007,"grp20","SP",13627.4,1,9.26,23079.11,273
1999,"grp20","SP",4355.42,1,3.35,13910.83,67
2002,"grp7","DF",672.59,1,1.26,15223.52,67
2007,"grp20","SP",2280.72,1,1.56,37006.69,5537
2011,"grp23","RS",5023.56,0,4.95,24751.59,22901
2010,"grp24","MG",2147.01,0,2.47,30619.27,49254
2004,"grp18","MS",570.67,1,0.96,32632.53,6544
2008,"grp20","SP",9789.99,1,8.56,36080.64,3239
1997,"grp5","BA",1103.16,1,1.2,14057.94,567
2002,"grp18","MS",145.08,1,0.06,61133,576
2010,"grp26","PA",25007.34,1,19.32,53787.97,3652
2000,"grp22","SC",819.75,1,0.98,15883.32,60
2006,"grp30","SP",1411.27,1,1.01,22230.78,8476
2008,"grp17","MT",994.9,1,1.01,48262.96,1271
2004,"grp20","SP",4174.49,1,3.57,27572.02,5461
2001,"grp11","PR",1750.6,1,2.82,13525.3,60
2009,"grp28","PE",6529.76,1,5.62,51299.33,67
2008,"grp20","SP",4511.09,1,3.75,33825.49,1648
2008,"grp6","SC",17046.62,1,26.13,34495.5,7253
2009,"grp13","SP",14497.97,1,9.95,34667.2,42640
2010,"grp40","SP",2841.92,1,2.7,35175,596
2003,"grp12","GO",965.74,1,0.5,44999.99,443
2008,"grp23","RS",5318.98,1,6.74,33064.69,199
2010,"grp29","PI",645.79,1,0.5,57716.7,2648
2005,"grp20","SP",5979.07,1,5.55,22065.24,3
2011,"grp20","SP",174662.8,1,132.15,52436.22,178872
2006,"grp13","SP",8353.82,1,6.92,26617.12,12747
2008,"grp2","AL",7649.82,1,11.14,24447.88,720
2008,"grp14","RJ",6506.98,1,6.56,34786.08,12514
2010,"grp15","SP",9222.65,1,21.01,5685.53,842
2008,"grp12","GO",405.35,1,1.01,4692.86,783
1994,"grp30","SP",5430.22,1,6.1,12193.88,206
1998,"grp24","MG",9629.6,1,16.44,11176.05,1660
2008,"grp23","RS",4011.65,1,2.25,85598.4,554
2008,"grp30","SP",20471.26,1,22.49,26668.39,3415
2006,"grp20","SP",23535.88,1,16.57,39092.12,873
2008,"grp9","PR",320.72,1,0.35,33680,2639
2000,"grp13","SP",3530.44,1,4.56,12822.54,79
2000,"grp6","SC",2783.09,1,3.66,17390.52,7574
2001,"grp6","SC",6736.34,1,10.56,15648.77,8181
2007,"grp28","PE",5416.32,1,2.74,46605.47,1014
2009,"grp34","SE",3141.21,1,1.34,94825.39,528
2010,"grp13","SP",41896.16,1,36.62,37464.77,4337
2008,"grp8","CE",11310.6,1,11.41,39290.37,1693
2010,"grp7","DF",7453.66,1,6.4,30968.23,1
1998,"grp20","SP",514.82,1,0.5,15077.97,359
2006,"grp38","MG",5678.34,1,8.87,18296.56,3061
2004,"grp24","MG",3224.33,1,3.8,25566.72,3200
2010,"grp31","RN",8799.92,1,8.4,24518.93,9001
2008,"grp14","RJ",17123.42,1,11.44,41379.28,92
2007,"grp36","MG",665.03,0,0.56,20185.48,7206
2000,"grp13","SP",8173.76,1,9.1,11451.89,67
2006,"grp20","SP",3660.38,1,3.49,29193.45,139
2011,"grp7","DF",583.2,1,0.49,58042.15,642
2009,"grp21","RJ",12691.36,1,6.33,44554.27,29014
2007,"grp9","PR",14187.87,1,12.51,38014.9,12176
1998,"grp20","SP",646.51,1,0.5,12068.99,2807
2008,"grp9","PR",1919.31,1,1.51,42200.27,1450
2008,"grp5","BA",32206.36,1,21.87,39318.9,4654
2006,"grp20","SP",6008.04,1,2.47,60168.01,36
2009,"grp21","RJ",7846.51,1,4.76,47052.56,3042
2009,"grp18","MS",2804.26,1,4.17,35528.82,11948
2010,"grp26","PA",34656.05,1,4.96,207906.15,7955
1999,"grp20","SP",3531.89,1,4.45,14654.75,103
2010,"grp12","GO",5492.57,1,3.18,36978.1,1219
2010,"grp2","AL",72834.05,1,85.72,29692.09,82835
2010,"grp30","SP",114008.05,1,172.62,27652.64,80790
2007,"grp30","SP",3669.18,1,4.72,25330.25,12
2007,"grp21","RJ",8387.27,0,2.72,42874.17,61584
2010,"grp19","PR",24980.02,1,29.6,31334.76,9529
2010,"grp21","RJ",1751.29,1,1.41,26762.98,2527
2009,"grp6","SC",633.55,1,0.33,47624.99,1
2009,"grp30","SP",3952.61,1,3.75,33788.39,70657
1998,"grp21","RJ",505.36,1,0.93,11284.71,1
2008,"grp20","SP",352676.54,1,343.35,27338.44,362004
2004,"grp17","MT",3933.5,1,4.06,26070.23,1002
2009,"grp36","MG",87097.26,1,100.01,40281.78,31227
2011,"grp39","MG",21729.6,1,22.56,41808.84,3745
2010,"grp25","SC",1496.47,1,2.42,31600.73,4782
2004,"grp12","GO",649.69,1,1.01,31079.18,67
2005,"grp21","RJ",15310.39,1,15.3,23994.25,3199
2003,"grp13","SP",1007.67,1,1.17,19621.73,20721
2007,"grp31","RN",1881.86,1,2.61,29361.66,36
2003,"grp15","SP",4601.05,1,5.8,16339.28,2463
1998,"grp40","SP",654.66,1,0.5,16928.15,134
2006,"grp15","SP",1931.03,1,1.75,33812.99,36
2000,"grp12","GO",367.13,1,0.44,16661.44,72
2005,"grp23","RS",5621.7,1,5.18,24048.81,2601
2009,"grp14","RJ",53605.34,1,18.12,88073.04,19257
2002,"grp20","SP",3089.79,1,2.52,43921.6,80
2005,"grp40","SP",3247.83,1,3.49,27692.21,1355
2007,"grp37","TO",433.76,1,0.51,26668.25,443
2005,"grp20","SP",69784.51,1,76.33,24339.55,10426
2007,"grp10","ES",1274.95,1,0.78,35086.73,1824
2010,"grp14","RJ",5460.16,1,5.84,24832.66,25312
2010,"grp21","RJ",8156.36,1,3.99,50070.48,134
2008,"grp8","CE",10943.89,1,11.81,26525.81,5361
2010,"grp24","MG",27115.05,1,31.6,35794.75,26587
2008,"grp30","SP",14746.44,1,18.87,24177.21,14445
2011,"grp20","SP",642.43,1,0.2,96959.99,92
2005,"grp11","PR",1164.62,1,1.62,19806.76,9664
2000,"grp20","SP",1682.98,1,0.5,29745.6,109
2008,"grp19","PR",16229.65,1,9.61,47754.92,2637
2006,"grp8","CE",6105.08,1,4.11,41053.39,2457
2004,"grp5","BA",22793.41,1,25.26,20766.88,577
2003,"grp28","PE",1187.54,1,1.52,17818.79,120
2007,"grp9","RS",1099.43,1,0.78,34236.8,4426
2008,"grp20","SP",360.17,1,0.29,20401.99,20785
